Number,Legs,Wings,Gender,Length,Height,Weight,Environment,Classification
1,2,2,Female,239,117,1344.375,volcanoes,Drake
2,4,0,Female,827,69,4651.875,air,Serpent
3,0,0,Male,1052,53,5917.5,swamp,Wyrm
4,4,6,Female,534,463,3003.75,cave,Dragon
5,4,2,Female,1085,83,6103.125,air,Flying Serpent
6,2,2,Male,308,153,1732.5,volcanoes,Wyvern
7,0,0,Female,1180,41,6637.5,cave,Wyrm
8,4,0,Male,1011,72,5686.875,water,Serpent
9,4,2,Male,218,134,1226.25,air,Drake
10,4,2,Female,218,160,1226.25,volcanoes,Drake
11,4,2,Male,211,137,1186.875,mountain,Drake
12,2,4,Male,422,222,2373.75,volcanoes,Wyvern
13,2,2,Male,201,111,1130.625,cave,Drake
14,2,4,Male,208,153,1170.0,volcanoes,Wyvern
15,4,0,Male,843,67,4741.875,air,Serpent
16,4,2,Male,220,99,1237.5,volcanoes,Drake
17,2,2,Female,246,118,1383.75,air,Drake
18,4,2,Male,725,97,4078.125,air,Flying Serpent
19,4,2,Male,446,394,2508.75,mountain,Dragon
20,4,0,Female,932,64,5242.5,air,Serpent
21,2,2,Male,374,197,2103.75,volcanoes,Wyvern
22,2,2,Male,403,193,2266.875,volcanoes,Wyvern
23,0,0,Male,1175,59,6609.375,cave,Wyrm
24,4,2,Female,704,81,3960.0,air,Flying Serpent
25,0,0,Male,1104,55,6210.0,swamp,Wyrm
26,2,4,Female,464,188,2610.0,volcanoes,Wyvern
27,4,2,Female,675,580,3796.875,mountain,Dragon
28,2,2,Female,426,230,2396.25,volcanoes,Wyvern
29,4,4,Male,521,457,2930.625,volcanoes,Dragon
30,4,2,Female,737,71,4145.625,air,Flying Serpent
31,4,2,Male,629,89,3538.125,air,Flying Serpent
32,0,0,Female,1355,46,7621.875,swamp,Wyrm
33,4,0,Male,747,78,4201.875,water,Serpent
34,2,4,Female,370,279,2081.25,volcanoes,Wyvern
35,2,2,Male,175,131,984.375,woods,Drake
36,0,0,Male,1182,62,6648.75,swamp,Wyrm
37,2,2,Female,241,127,1355.625,desert,Drake
38,0,0,Female,1080,39,6075.0,cave,Wyrm
39,2,2,Male,182,109,1023.75,volcanoes,Drake
40,4,2,Female,896,78,5040.0,air,Flying Serpent
41,2,2,Male,339,180,1906.875,volcanoes,Wyvern
42,2,2,Male,216,130,1215.0,woods,Drake
43,0,0,Male,956,52,5377.5,cave,Wyrm
44,4,6,Female,760,490,4275.0,cave,Dragon
45,0,0,Female,1077,47,6058.125,cave,Wyrm
46,0,0,Male,1197,64,6733.125,swamp,Wyrm
47,2,2,Male,260,134,1462.5,volcanoes,Wyvern
48,4,4,Male,427,352,2401.875,cave,Dragon
49,4,6,Male,396,548,2227.5,mountain,Dragon
50,4,2,Male,178,103,1001.25,air,Drake
51,4,6,Male,464,248,2610.0,volcanoes,Dragon
52,4,6,Female,612,437,3442.5,mountain,Dragon
53,4,0,Male,839,77,4719.375,water,Serpent
54,4,2,Female,223,126,1254.375,cave,Drake
55,4,0,Female,807,67,4539.375,air,Serpent
56,4,2,Male,499,389,2806.875,mountain,Dragon
57,4,2,Male,572,416,3217.5,mountain,Dragon
58,0,0,Male,1096,45,6165.0,swamp,Wyrm
59,4,2,Male,649,78,3650.625,air,Flying Serpent
60,4,4,Female,598,265,3363.75,volcanoes,Dragon
61,0,0,Female,986,45,5546.25,swamp,Wyrm
62,4,2,Female,1018,78,5726.25,air,Flying Serpent
63,2,2,Male,249,172,1400.625,volcanoes,Wyvern
64,2,2,Male,359,146,2019.375,volcanoes,Wyvern
65,4,2,Female,527,541,2964.375,cave,Dragon
66,4,2,Female,250,119,1406.25,air,Drake
67,4,4,Female,578,399,3251.25,volcanoes,Dragon
68,4,2,Male,214,126,1203.75,desert,Drake
69,0,0,Male,862,50,4848.75,swamp,Wyrm
70,2,2,Female,239,132,1344.375,desert,Drake
71,4,2,Male,736,98,4140.0,air,Flying Serpent
72,4,2,Male,197,134,1108.125,volcanoes,Drake
73,2,2,Male,212,220,1192.5,volcanoes,Wyvern
74,4,2,Female,672,274,3780.0,mountain,Dragon
75,2,2,Female,364,209,2047.5,volcanoes,Wyvern
76,4,2,Male,209,146,1175.625,woods,Drake
77,4,0,Female,1133,67,6373.125,water,Serpent
78,0,0,Male,995,55,5596.875,cave,Wyrm
79,4,2,Female,951,83,5349.375,air,Flying Serpent
80,4,2,Male,180,139,1012.5,desert,Drake
81,0,0,Female,1307,49,7351.875,cave,Wyrm
82,0,0,Male,969,62,5450.625,swamp,Wyrm
83,4,0,Female,1174,51,6603.75,water,Serpent
84,0,0,Female,1127,37,6339.375,swamp,Wyrm
85,4,2,Female,1031,75,5799.375,air,Flying Serpent
86,4,2,Female,966,81,5433.75,air,Flying Serpent
87,4,4,Male,546,506,3071.25,mountain,Dragon
88,2,2,Female,253,114,1423.125,cave,Drake
89,4,6,Male,612,553,3442.5,cave,Dragon
90,4,2,Female,1096,71,6165.0,air,Flying Serpent
91,4,2,Female,231,111,1299.375,air,Drake
92,2,4,Male,350,187,1968.75,volcanoes,Wyvern
93,2,4,Female,547,244,3076.875,volcanoes,Wyvern
94,4,2,Female,526,343,2958.75,mountain,Dragon
95,0,0,Male,979,50,5506.875,cave,Wyrm
96,2,2,Male,212,148,1192.5,woods,Drake
97,2,4,Male,419,133,2356.875,volcanoes,Wyvern
98,4,2,Male,470,298,2643.75,volcanoes,Dragon
99,4,2,Female,752,84,4230.0,air,Flying Serpent
100,2,2,Male,263,160,1479.375,volcanoes,Wyvern
101,2,2,Female,430,227,2418.75,volcanoes,Wyvern
102,2,2,Female,245,153,1378.125,desert,Drake
